restaurant,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,calories
Taco Bell,110,12,5,0,40,1050,52,7,5,19,0,0,0,390
Taco Bell,120,13,5,0,30,1090,52,7,5,17,0,0,0,390
Taco Bell,240,27,6,0,60,1960,96,12,7,32,0,0,0,760
Taco Bell,250,28,7,0,50,1900,98,13,7,33,0,0,0,780
Taco Bell,230,26,5,0,10,1750,107,17,8,20,0,0,0,740
Taco Bell,160,17,3.5,0,0,930,55,6,4,11,0,0,0,420
Taco Bell,150,17,8,1,35,930,41,5,2,16,0,0,0,380
Taco Bell,210,24,9,0,55,1510,74,5,5,25,10,4,35,610
Taco Bell,220,24,9,0,50,1520,75,5,5,25,10,4,40,610
Taco Bell,240,26,10,0.5,45,1530,76,7,5,22,15,4,35,630
Taco Bell,260,29,9,0.5,50,1130,52,7,4,20,15,6,20,550
Taco Bell,270,30,10,0,60,1440,64,4,4,24,0,0,0,620
Taco Bell,280,31,11,0.5,65,1410,64,3,4,25,0,0,0,630
Taco Bell,300,34,12,0.5,60,1450,65,6,5,22,0,0,0,650
Taco Bell,160,18,4.5,0,30,960,45,3,3,16,0,0,0,400
Taco Bell,320,35,13,1,75,2260,70,10,4,28,0,0,0,710
Taco Bell,250,28,10,0,70,2230,67,8,4,34,0,0,0,650
Taco Bell,260,29,11,0.5,80,2080,68,7,4,35,0,0,0,670
Taco Bell,180,20,8,0,55,1740,66,5,5,24,15,8,35,540
Taco Bell,190,21,9,0,50,1750,66,5,5,24,10,6,35,550
Taco Bell,210,23,10,0.5,45,1760,68,7,5,22,15,6,35,570
Taco Bell,140,16,6,0,30,1030,50,4,3,15,6,2,20,410
Taco Bell,380,42,14,1,75,2020,94,12,6,31,0,0,0,880
Taco Bell,320,35,11,0,85,1940,91,10,6,37,0,0,0,830
Taco Bell,320,36,12,1,70,2020,91,10,7,33,0,0,0,820
Taco Bell,50,6,3,0,30,460,18,1,1,12,0,0,0,170
Taco Bell,120,14,5,0,25,770,36,6,2,13,0,0,0,320
Taco Bell,90,10,3.5,0,25,350,13,2,1,8,0,0,0,160
Taco Bell,100,12,4.5,0,35,370,15,3,3,9,0,0,0,200
Taco Bell,90,10,4,0,25,290,12,3,1,8,0,0,0,170
Taco Bell,110,12,5,0,35,320,15,3,2,9,0,0,0,200
Taco Bell,120,14,5,0,25,640,37,7,2,13,0,0,0,320
Taco Bell,140,16,6,0,35,670,40,7,3,14,0,0,0,350
Taco Bell,160,18,7,0,35,640,32,4,6,12,10,2,15,340
Taco Bell,180,20,8,0.5,40,630,30,4,3,13,15,2,20,350
Taco Bell,170,19,6,0,35,650,39,5,2,13,8,2,20,380
Taco Bell,120,13,5,0,25,770,36,7,2,14,0,0,0,320
Taco Bell,90,10,3.5,0,25,370,12,3,1,8,0,0,0,170
Taco Bell,110,12,5,0,30,390,15,3,2,9,0,0,0,200
Taco Bell,130,14,4,0,30,550,19,2,2,11,0,0,0,250
Taco Bell,120,13,5,0,25,760,36,7,2,14,0,0,0,320
Taco Bell,80,9,4,0,25,340,13,2,1,8,0,0,0,170
Taco Bell,100,11,5,0,35,370,15,3,2,9,0,0,0,200
Taco Bell,100,11,5,0,35,530,22,3,3,10,0,0,0,230
Taco Bell,80,9,4,0,25,510,19,3,1,10,0,0,0,200
Taco Bell,120,13,3,0,10,510,28,3,1,6,0,0,0,250
Taco Bell,160,18,4,0,40,530,29,3,4,16,0,0,0,340
Taco Bell,170,18,4,0,30,570,29,3,4,14,0,0,0,340
Taco Bell,190,21,5,0,30,570,31,4,4,13,0,0,0,370
Taco Bell,310,35,8,0.5,50,1010,50,6,5,21,15,4,15,600
Taco Bell,250,28,6,0,65,1070,23,4,2,19,6,4,6,420
Taco Bell,270,30,7,0,70,1090,22,3,1,20,6,4,6,440
Taco Bell,310,35,8,0.5,50,1240,52,7,5,21,15,8,15,600
Taco Bell,80,9,3,0,0,950,57,9,3,11,0,0,0,350
Taco Bell,80,8,3,0,25,1020,50,7,4,17,0,0,0,340
Taco Bell,80,9,3,0,15,1060,50,7,4,15,0,0,0,340
Taco Bell,35,4,1,0,25,460,18,2,2,11,0,0,0,150
Taco Bell,70,8,2,0,20,290,13,3,1,6,0,0,0,140
Taco Bell,35,4,2,0,15,500,19,2,2,9,0,0,0,150
Taco Bell,60,7,3,0,20,500,20,3,2,8,0,0,0,170
Taco Bell,260,29,10,1,55,810,39,5,6,20,0,0,0,490
Taco Bell,250,28,10,1,55,890,40,5,5,20,0,0,0,490
Taco Bell,250,28,10,1,55,890,40,5,4,20,0,0,0,490
Taco Bell,250,28,10,1,55,880,40,5,5,20,0,0,0,490
Taco Bell,290,32,12,1,70,1110,44,7,5,25,15,2,30,570
Taco Bell,120,14,5,0,30,550,31,4,6,13,0,0,0,300
Taco Bell,90,10,4,0,40,510,29,2,6,16,0,0,0,270
Taco Bell,90,11,4,0,30,550,29,2,6,14,0,0,0,270
Taco Bell,360,41,6,0,30,1420,73,10,4,13,10,4,8,710
Taco Bell,360,39,6,0,30,1100,82,13,5,18,0,0,0,760
Taco Bell,210,23,5,0,30,690,44,7,3,12,0,0,0,430
Taco Bell,140,15,1.5,0,0,600,41,6,2,7,0,0,0,320
Taco Bell,140,16,4.5,0,30,550,19,3,1,10,6,0,10,260
Taco Bell,170,19,6,0,25,960,46,4,3,14,0,0,0,410
Taco Bell,110,12,4,0,25,560,17,3,1,9,0,0,0,210
Taco Bell,170,19,4.5,0,20,870,49,5,3,12,0,0,0,420
Taco Bell,210,23,5,0,20,900,43,3,4,12,0,0,0,430
Taco Bell,200,22,4,0,60,1520,64,9,4,26,0,0,0,560
Taco Bell,210,23,4,0,50,1460,66,10,4,27,0,0,0,580
Taco Bell,190,21,3,0,10,1310,75,14,4,14,0,0,0,540
Taco Bell,240,27,11,1,50,1000,40,4,3,19,0,0,0,480
Taco Bell,80,9,5,0,20,450,18,2,1,9,0,0,0,190
Taco Bell,250,28,12,1,75,1210,41,4,3,27,0,0,0,520
Taco Bell,340,37,8,0,50,1290,53,4,4,17,8,6,15,620
Taco Bell,150,17,8,1,35,930,41,5,2,16,0,0,0,380
Taco Bell,170,18,3,0,25,640,22,1,1,9,0,0,0,290
Taco Bell,340,37,13,0.5,75,1480,51,5,3,26,10,2,45,650
Taco Bell,190,21,6,0,30,1110,71,7,7,16,0,0,0,540
Taco Bell,100,11,4,0,15,650,32,8,2,12,0,0,0,270
Taco Bell,260,29,9,1,60,1270,59,8,7,23,0,0,0,580
Taco Bell,200,22,6,0,25,1120,55,4,5,13,0,0,0,470
Taco Bell,270,31,8,1,40,860,47,7,2,20,0,0,0,540
Taco Bell,130,14,7,1,40,740,21,3,2,14,0,0,0,270
Taco Bell,210,23,10,0.5,60,840,36,3,3,22,15,6,35,440
Taco Bell,200,23,10,0.5,60,840,37,3,3,22,15,8,35,440
Taco Bell,240,26,11,1,50,890,38,4,3,19,15,6,35,460
Taco Bell,70,8,2.5,0,25,540,15,2,1,12,0,0,0,180
Taco Bell,180,20,4,0,25,900,42,3,3,15,0,0,0,400
Taco Bell,90,10,2.5,0,10,440,22,4,1,7,0,0,0,200
Taco Bell,170,18,8,0.5,40,1050,39,4,3,18,8,2,30,390
Taco Bell,250,28,12,1,65,1250,41,4,3,25,0,0,0,520
Taco Bell,270,30,9,0.5,45,1550,85,9,7,23,15,6,25,700
Taco Bell,340,38,10,0.5,50,1850,87,9,8,23,20,10,25,780
Taco Bell,260,29,9,1,60,1270,59,8,7,23,0,0,0,580
Taco Bell,380,42,10,1,60,1340,74,11,7,26,0,0,0,780
Taco Bell,320,35,7,0,70,1260,70,8,8,32,0,0,0,720
Taco Bell,320,36,8,1,55,1340,70,8,8,28,0,0,0,720
